baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C14orf38	8.8559555954832	1.43868466590678	0.279573856837585	5.14599141057229	2.66111598885619e-07	1.4079342550078e-06
ZNF599	229.791986211398	0.290348592361176	0.0564232198701609	5.14590611860358	2.66232552263636e-07	1.40822835894127e-06
TET1	220.107784336993	-0.536006464093255	0.104175304673477	-5.14523538734343	2.67185575271786e-07	1.41292244321437e-06
SLC2A8	1192.39752570747	0.326720214031265	0.0635039636375593	5.14487908024102	2.67693181180753e-07	1.41525936082408e-06
CLIC5	416.71316335786	0.563927340747615	0.109621809681707	5.14429877033602	2.68521902751696e-07	1.41929241238531e-06
ABCB5	41.5328213443833	1.05271702993758	0.204686591864055	5.14306784997798	2.70287950188627e-07	1.42827657563497e-06
SNX3	7446.55699904003	-0.255642668968035	0.04970773592137	-5.14291516661356	2.70507791212464e-07	1.42908775230047e-06
POLA2	1360.35579825549	-0.330168104826546	0.0642056680197885	-5.14235136880417	2.71321072285021e-07	1.43303289563826e-06
ORC4	1855.91686264351	-0.200936031437768	0.0390782400105689	-5.1418905094862	2.71987617771058e-07	1.43620128364208e-06
FOXD4L5	3.73954455441672	1.05631472224743	0.205439205618505	5.14173874001916	2.7220746944672e-07	1.43700997837788e-06
LOXHD1	35.5204705323372	0.51847112817532	0.100857106694106	5.14065042285831	2.73789030254394e-07	1.44483013322023e-06
KLRAP1	159.379595388617	0.458561920417609	0.0892040513637064	5.14059522417812	2.7386948193354e-07	1.44483013322023e-06
ZNF775	274.140298936126	0.46890577854357	0.0912164919200738	5.14058114572568	2.73890004830645e-07	1.44483013322023e-06
ATG4A	934.3557504256	-0.229580982344259	0.0446610834391438	-5.14051529128466	2.73986024022241e-07	1.44498284003308e-06
LOC644714	9.03351569269469	0.497308070854846	0.0967437507868239	5.14046712898976	2.74056267728836e-07	1.44499956729076e-06
HOXD3	86.5825001844823	0.693687440076192	0.134956111408545	5.1400965309102	2.74597359467586e-07	1.44749829027885e-06
APOM	156.076724958672	0.453490125112546	0.0882317530603197	5.13976102007763	2.75088111836211e-07	1.44973049936383e-06
UBQLN2	3576.3446711607	-0.222829733599748	0.0433570308115456	-5.13941405647203	2.75596507084288e-07	1.45205457290876e-06
MRPL1	1104.75929537673	-0.286125337599432	0.055694414701102	-5.13741528903743	2.78542958296482e-07	1.46721992507076e-06
ANXA13	23.7441361748206	0.654767676603683	0.1274858698804	5.13600195235714	2.8064474320447e-07	1.4779296865307e-06
TEKT3	62.5787618778122	0.639185545188789	0.124456261867156	5.13582471142396	2.80909398014603e-07	1.4789618941414e-06
ACTN4	28807.855635982	-0.280096401467664	0.0545486627867825	-5.13479867622957	2.82446208677046e-07	1.48668974340051e-06
C3orf58	1234.21780463217	-0.531963401046723	0.103638814989989	-5.1328587759143	2.85374037331507e-07	1.50173382029067e-06
WBP11P1	565.418240230924	-0.446798934856937	0.0870504415443111	-5.13264409611874	2.85699842055924e-07	1.50308117149031e-06
ASB16	153.806956228714	0.550064534417286	0.107177991659945	5.13225267518105	2.86294799392225e-07	1.50584354445949e-06
BLOC1S3	1168.08801034488	-0.235656112412277	0.0459453425538686	-5.1290533340998	2.91202839776445e-07	1.53128483772119e-06
SECTM1	1996.2602555922	-0.692579684826562	0.135055288082052	-5.12811971054245	2.92650340311772e-07	1.53852096917443e-06
BCL7C	2869.31111591155	0.484142552093483	0.094417205103174	5.12769416934592	2.93312407051563e-07	1.54162539583285e-06
MMRN1	518.440549310423	0.905071020167309	0.176515399164318	5.12743377887829	2.93718241545251e-07	1.54338190142705e-06
MXD1	1482.95967474541	-0.425338791690453	0.0829543503502164	-5.12738379475892	2.93796206865591e-07	1.54341513794496e-06
L3MBTL1	221.795439880361	0.543046383924801	0.105933789029956	5.12628113180432	2.95521234473624e-07	1.55190770921203e-06
E2F1	1254.67315498298	-0.609602170383635	0.118917565412256	-5.12625841498104	2.95556875737883e-07	1.55190770921203e-06
ZNF570	235.800924697769	-0.417250977314798	0.0814091636978483	-5.12535638940393	2.96975456483152e-07	1.55897642165522e-06
PTGER4	673.750970597859	0.493377721832965	0.0962629923816016	5.12531046071307	2.97047862387191e-07	1.55897664976118e-06
A1BG-AS1	105.838998142551	0.379501972885717	0.0740768483601603	5.12308475976982	3.00577148940143e-07	1.57711497729334e-06
ANKRD29	234.408764676403	0.643077624389936	0.125529725945793	5.122911083767	3.00854242966658e-07	1.57818451679418e-06
RPL34	17453.0211917667	0.381379021971269	0.0744519079846078	5.12248822488358	3.01529931373818e-07	1.58134392442004e-06
RNF19B	2316.08598236743	-0.319897236865931	0.0624516133117327	-5.1223214245745	3.0179686525275e-07	1.58235864322347e-06
FECH	1981.30814992693	-0.286924592974298	0.0560205871508292	-5.12177054127951	3.02680077003077e-07	1.58660330388182e-06
MDC1	3011.62387009456	-0.264740728193077	0.051689844185379	-5.12171650670137	3.02766843018984e-07	1.58667206665069e-06
ALX1	8.64781609435787	-1.3007107464903	0.253974981117448	-5.12141290755251	3.03254794032947e-07	1.58884272437884e-06
ITM2A	1591.33204498323	0.624360155244232	0.121954352856637	5.11962173238863	3.06149100978129e-07	1.60358559619763e-06
PLOD3	4225.38331293581	-0.337235978263338	0.0658718111724114	-5.1195795631103	3.06217561397932e-07	1.60358559619763e-06
ZCCHC11	1382.68896919895	-0.487305751504494	0.0951993120793251	-5.11879488266097	3.07494163863913e-07	1.6098795300812e-06
C1orf174	1176.43141781586	-0.197128799036626	0.0385120255767734	-5.11862972887913	3.07763507615386e-07	1.61089820409764e-06
SERTAD2	3487.76341921768	-0.304024727167659	0.0594019819176494	-5.11809063187719	3.08644289099594e-07	1.61511599814468e-06
HIST1H1C	4727.01079916015	-0.824002768029574	0.161009575808157	-5.11772522779251	3.09242672914418e-07	1.61785433347941e-06
KLK12	47.7249617481671	1.76501669936977	0.344921917055231	5.11714858376815	3.10189261392887e-07	1.62241258738732e-06
STRN	3496.35201675395	-0.299371210208527	0.0585093628915591	-5.11663766982696	3.11030287756288e-07	1.62641663092754e-06
TYK2	4218.24239253874	0.260382786729824	0.0508919210591488	5.11638746014709	3.11442965968865e-07	1.62817938821481e-06
SCN1B	555.476866882085	0.53038512263973	0.103669279823804	5.11612623856526	3.11874370493559e-07	1.63003916494741e-06
PCGF6	333.967366162018	-0.268276954041447	0.0524398109366676	-5.11590238884442	3.12244514807203e-07	1.63157793524287e-06
PTGDS	1840.09054411224	0.872352786675449	0.17053051850985	5.1155229826212	3.12872846798256e-07	1.63446474573754e-06
GZMB	233.370322575444	-0.997185426810165	0.194938606153278	-5.11538194761735	3.13106724977561e-07	1.63529000797978e-06
CCDC84	419.916991074524	0.422714548041603	0.0826530099580881	5.11432733370454	3.14860948136344e-07	1.64405338503379e-06
PDLIM4	1379.73487704896	0.601422698376671	0.117603042422198	5.11400628750359	3.15396851188023e-07	1.64625200942857e-06
FLJ30679	2.03782971710866	-1.02993561256481	0.201395957417026	-5.11398354651256	3.15434844732693e-07	1.64625200942857e-06
CTSA	8219.62733513542	-0.291232688968546	0.0569502260752558	-5.11381093700492	3.15723368827185e-07	1.64735874497769e-06
ZBTB33	2803.97046386204	-0.334905576181514	0.0655169065804801	-5.11174281053884	3.19200206318739e-07	1.6650966694748e-06
ZNF580	1368.60161553045	0.438169550991558	0.085720743578829	5.11159297852586	3.19453527873675e-07	1.66573803860516e-06
MIR142	8.29173591362438	1.10234675327971	0.215656812221933	5.11157863237486	3.19477793145029e-07	1.66573803860516e-06
IL25	2.22882313209054	1.0250183359593	0.200554622118789	5.1109185374555	3.20596213146095e-07	1.67116496879251e-06
ST7	1542.72258599152	-0.241314445961104	0.0472279981197608	-5.10956330076026	3.22904293407915e-07	1.68278908978716e-06
SHISA3	18.4001892138485	0.943013329536418	0.184569646200502	5.10925468487925	3.23432129908133e-07	1.6851322386314e-06
CD34	4283.03914799637	0.436022679480607	0.0853438021495581	5.10901399396892	3.23844370029062e-07	1.68687212473552e-06
WDR52	1220.48517335509	0.464146229127058	0.0908565686396283	5.10855996519127	3.24623383082557e-07	1.69052119050776e-06
G0S2	1241.24002592894	0.930965814604872	0.182252984749454	5.10809639625209	3.25420631355078e-07	1.69398223597478e-06
HMGCS2	3963.25910771762	1.48359310586168	0.29044034085565	5.10808209868833	3.25445250403806e-07	1.69398223597478e-06
RPIA	1329.5060348702	-0.266236725667536	0.0521278122824272	-5.10738344868708	3.26650452534521e-07	1.69984477038737e-06
RGS9BP	23.7183363352852	-0.796970844600675	0.156086434132465	-5.10595843277651	3.29122039048305e-07	1.71192625515813e-06
LDLRAD3	3669.15620943829	-0.584550253148705	0.114484058388605	-5.10595327748169	3.29131013222473e-07	1.71192625515813e-06
DND1	444.283720871884	0.297605202032138	0.058303350905914	5.10442705964521	3.31798217887072e-07	1.72538276759814e-06
ABTB2	589.786342161929	-0.681958955733823	0.133603630637689	-5.10434448883492	3.31943111298447e-07	1.72571968866162e-06
IQGAP3	2169.52841340364	-0.615273938654051	0.120544817129425	-5.10410943668734	3.32355910059731e-07	1.72744890864339e-06
MDFI	1893.85926100366	-0.799181784270252	0.156578807057791	-5.10402269175091	3.32508376737641e-07	1.72782452205396e-06
ZNF513	1150.62094788149	0.34638552948089	0.0678713106126083	5.10356329286122	3.33316962577249e-07	1.73160854636225e-06
LOC100507634	40.8492490957617	-0.452174539521401	0.0886148013229436	-5.10269766191223	3.34845716593866e-07	1.73913117606033e-06
PSMB1	8281.67761584128	-0.3127641555231	0.0612951971513653	-5.10258829498086	3.35039345816475e-07	1.73971744185831e-06
ZNF385A	4854.78348237206	0.478607319914782	0.0938089870550149	5.10193463270315	3.36198880943743e-07	1.74531775688e-06
SCNN1B	1099.98057450062	-0.984080531787428	0.19288837100268	-5.10181368981417	3.36413846472549e-07	1.74601298684765e-06
SOX18	703.694698011666	0.543067194952636	0.106448080279077	5.10170961776734	3.36598931744409e-07	1.74655283851193e-06
UBE2Q1	6490.41263532635	-0.228875283221263	0.0448658207278851	-5.10132834991275	3.37277831542702e-07	1.74965413020852e-06
ANKRD18B	10.1866880584935	-1.18083537271309	0.231521732327842	-5.10032194749214	3.39076224877471e-07	1.75855998766496e-06
FAM108A1	885.099607298065	0.415937851561352	0.0816036933216345	5.09704689372289	3.44992891697802e-07	1.78881512845667e-06
PRB2	1.09413974986338	-2.51173889880632	0.492840085919715	-5.09645820331159	3.46066925473994e-07	1.79395232011832e-06
SCRG1	56.0644944515693	-1.06009636018507	0.208014649871537	-5.09625817623783	3.46432598138484e-07	1.7954158995178e-06
SIGLEC6	51.3295032383596	0.826233212248842	0.162129732373481	5.09612395057518	3.46678187279176e-07	1.79625658170817e-06
MXD3	562.867210259894	0.583776496338807	0.114557675232642	5.09591779994909	3.47055702906672e-07	1.79778025088274e-06
TMEM104	1695.79489753995	-0.31518279468065	0.061852826092083	-5.095689471188	3.4747429563497e-07	1.79951591950957e-06
LRRC3	143.043072701938	-0.47968492105647	0.094139768686354	-5.09545463888528	3.47905319574456e-07	1.8011195441487e-06
TRRAP	5851.02831340884	-0.297239275640472	0.0583344867687819	-5.09542968670708	3.47951148475069e-07	1.8011195441487e-06
OBP2A	124.269557630576	1.27390030854811	0.250020748399101	5.09517836701542	3.48413064683964e-07	1.80307736381247e-06
LOC646903	31.6035117003098	-0.589338393743776	0.115668612756853	-5.0950588901989	3.4863286613617e-07	1.80378157253546e-06
UBE2K	6202.93828554016	-0.261016301848118	0.0512379633700752	-5.0941974403409	3.50221641452152e-07	1.81114506483385e-06
ESX1	1.04515895258941	-2.22376671520154	0.436529472487364	-5.09419605171311	3.50224208136734e-07	1.81114506483385e-06
NOV	600.024070240235	0.650153131505539	0.12763079925297	5.0940144174519	3.50560090261938e-07	1.81205022067376e-06
ZNF492	71.1997880903599	-0.823490626881716	0.16165860619884	-5.09401043498312	3.50567458214269e-07	1.81205022067376e-06
EGLN1	3120.85077280422	-0.307171273229254	0.0603012682082997	-5.09394383163198	3.50690703009944e-07	1.81225245997751e-06
RBM12	4987.73207330436	-0.20477700330742	0.0402018362187362	-5.09372263976298	3.51100303082152e-07	1.81393403587575e-06
COPS2	4439.59226969307	-0.243969214041012	0.0479027191791983	-5.09301388775766	3.52415873037267e-07	1.82029431040874e-06
RPL36A	221.927328754897	0.375075464999528	0.0736649892364189	5.09163808869596	3.54983196455122e-07	1.83311552838666e-06
TGM1	96.5263659536257	-0.716546281001339	0.140741578739051	-5.09121957719321	3.55767738356205e-07	1.83672661278363e-06
SRD5A2	25.6098094386584	-0.917139738942396	0.180245229720167	-5.08828855202586	3.61309332159828e-07	1.86488937519198e-06
C22orf28	4985.81192358526	-0.227775454068396	0.0447661675993949	-5.08811600999044	3.61638135197025e-07	1.86613939752927e-06
CHST6	176.46741856235	-0.756057279348052	0.148646547542635	-5.08627540865825	3.65163679914138e-07	1.8838808237716e-06
FBXO30	1228.63621684512	-0.356846774048614	0.07015947890993	-5.08622326723279	3.65264034802932e-07	1.88394741819353e-06
EED	1089.73097322183	-0.284128759925934	0.0558639106076304	-5.08608790246641	3.6552469119005e-07	1.88484058089958e-06
LOC254896	35.5559021532901	0.917339323985989	0.180384446126021	5.08546797513304	3.66720709506359e-07	1.89055538779732e-06
RAI14	3889.65646881833	-0.398732377654639	0.0784081728863256	-5.08534203740103	3.66964140808801e-07	1.89135776305857e-06
FLJ14186	433.160541949475	0.356685811378865	0.070152761341396	5.08441584562958	3.68759220109509e-07	1.90015513944971e-06
KRT38	1.75744023101047	-1.68290352329634	0.330999595766809	-5.08430688381248	3.6897095849738e-07	1.90046337950925e-06
GOLT1A	439.445559523518	0.571523342710163	0.112409571845471	5.08429427607672	3.6899546585997e-07	1.90046337950925e-06
RRN3P2	267.013986490958	-0.298758475982887	0.0587824072537626	-5.08244711199308	3.72603075724036e-07	1.91858524459814e-06
POLE2	344.106297525745	-0.379209080200853	0.0746171916124992	-5.0820604743496	3.73362496103368e-07	1.92203622844707e-06
HSPA9	12879.390352445	-0.272663057970321	0.0536536989049818	-5.08190606677826	3.73666195359404e-07	1.92314011295342e-06
LOC148145	1.24797188076374	1.30176282083852	0.256174306299111	5.08155107217727	3.74365327166461e-07	1.92627814866832e-06
SSTR1	47.6599644799914	0.792126331816046	0.155900440677027	5.08097557887641	3.75501395378947e-07	1.93166238348711e-06
OLIG1	9.4702933818846	-1.22113026183371	0.240348011682037	-5.08067553081813	3.7609503224458e-07	1.93425432673125e-06
RBCK1	4904.17465716584	0.306996595082704	0.0604270475171589	5.08045002522305	3.76541784926716e-07	1.93608978865422e-06
KRT32	36.1717234659302	0.957120255030006	0.188404816523569	5.08012625521319	3.77184106414087e-07	1.93892970379029e-06
SIK1	5385.73522314616	0.624256430951122	0.122891403112664	5.07974044676515	3.77950885649751e-07	1.94240789132592e-06
FASTKD2	2449.29189877213	-0.210348761622761	0.0414204860707676	-5.07837501625104	3.80676727143502e-07	1.95595025270203e-06
EPHA7	81.0629638705116	-0.951645205869373	0.187407592496331	-5.0779437118483	3.81541686263567e-07	1.95992705981457e-06
HSDL1	1919.13391406602	-0.267783639727987	0.052735722398533	-5.07784150000449	3.81746944754669e-07	1.96051398755533e-06
C15orf41	329.90160033567	-0.353061706778317	0.0695350825304734	-5.07746153351568	3.82510915848429e-07	1.96387141121115e-06
PSPN	15.6290588562903	0.652312275207964	0.128473031746207	5.07742571605673	3.82583007466264e-07	1.96387141121115e-06
MIR4444-1	173.196107303991	-0.473646670007105	0.0932924530404375	-5.07700949616796	3.83421716440105e-07	1.96770782729529e-06
PHOSPHO2	329.163594738455	0.426860754745901	0.0840821043338813	5.07671350672768	3.84019232834829e-07	1.97030491835998e-06
ARL6IP4	6336.82227985588	0.447014704498618	0.0880545614897947	5.0765649948802	3.84319373402182e-07	1.97137537632776e-06
CCL21	947.105386073862	1.01114268071346	0.199217818853629	5.07556345377106	3.86349394444244e-07	1.98131667553125e-06
MSRA	569.668672025596	0.369828294098637	0.072872878513006	5.074978533099	3.87539750757945e-07	1.98694821283417e-06
FAM120C	1137.47885381137	-0.371920319439077	0.0732933680496515	-5.07440617529168	3.88707966236478e-07	1.99246357949053e-06
MYOZ3	125.058420583615	0.792450251091997	0.156186978645783	5.07372802754063	3.9009650384315e-07	1.99910539457584e-06
ADHFE1	320.673220681964	0.536384748421725	0.105728137024746	5.07324505581879	3.91088326885352e-07	2.00371151353579e-06
PLEKHA1	2175.81546497751	-0.294070614173066	0.0579751357533075	-5.0723574917423	3.92917362925669e-07	2.01260381998826e-06
TUSC5	867.257248239424	1.25224290642891	0.246910577954654	5.07164543861254	3.94390681730474e-07	2.01967027506568e-06
CCDC96	380.069843398223	0.536837470074017	0.105853082960461	5.07153363000809	3.94622510152198e-07	2.02037722403017e-06
SOX21	5.54716342553046	-1.13342907926502	0.2235087322831	-5.0710729182133	3.95579156373524e-07	2.02479385718964e-06
KRT23	3505.48963128044	-1.01661412660789	0.200478915476342	-5.07092790377676	3.95880734751536e-07	2.02585618752662e-06
BCL2L13	3525.49030896375	-0.255475969929446	0.0503896851589708	-5.07000528230061	3.97804661186199e-07	2.03521814784979e-06
GFOD2	1655.62885281523	-0.231581879406997	0.0456812556435027	-5.06951650397411	3.98827554794751e-07	2.03996696118189e-06
C10orf68	86.7625287963079	0.498309788868236	0.0982964270289625	5.06945983622998	3.9894631058687e-07	2.04009003448458e-06
AGBL3	62.9896202157344	0.39319804605828	0.0775652941002761	5.06925230696547	3.99381510772823e-07	2.0418308657071e-06
TRIM66	940.808288416017	0.389463982104313	0.0768413229302934	5.06841849219091	4.01134688126759e-07	2.05030740711812e-06
CPA4	211.099525042162	-0.902675069525858	0.178100743519382	-5.06833970307161	4.01300733449624e-07	2.05066959237161e-06
OGFOD2	903.743100614662	0.381459644641506	0.0752685831063226	5.06797961245883	4.02060456441412e-07	2.05406461313108e-06
LGR4	1867.78697612438	-0.655798046509004	0.129416435583757	-5.0673474628698	4.03397530287733e-07	2.05955005442678e-06
FAM90A20	2.31405487798739	0.961536436314675	0.189751844624073	5.0673364373328	4.0342088867491e-07	2.05955005442678e-06
FANK1	550.086201696018	0.544256649898172	0.107404878362328	5.0673364021896	4.03420963130385e-07	2.05955005442678e-06
EHBP1	2166.54091648656	-0.29902088243573	0.0590193241310822	-5.06649113384631	4.05215615321137e-07	2.06822203659762e-06
SCFD2	1222.41514786646	-0.236651709811472	0.0467195047225822	-5.06537282911487	4.07601812537689e-07	2.0799084437025e-06
SAR1A	7526.09893018366	-0.223273234744246	0.044080533252038	-5.06512100177288	4.08141019685096e-07	2.08216673646595e-06
PIGQ	5288.37688467053	0.448794205072382	0.0886208646906353	5.06420476305516	4.10108663260049e-07	2.09170952681688e-06
SS18L1	1384.55484298335	-0.301957165475554	0.0596342438560032	-5.06348611050858	4.11658387721567e-07	2.09911675859726e-06
CD300LG	262.573579465576	1.08131907662158	0.213555322006458	5.06341432497237	4.11813498283747e-07	2.09941079200782e-06
LAMB2	18867.2622427109	0.406476263071724	0.0802899716824913	5.0626031440034	4.13570180720651e-07	2.10786751205245e-06
ADAM9	7145.73347992111	-0.596268474753537	0.117780449191293	-5.06254203348392	4.13702813283615e-07	2.1080447988132e-06
NRTN	71.0018556061327	-0.867468989338754	0.171388744967978	-5.06141164345902	4.1616359356608e-07	2.12008239767974e-06
CCDC74B	715.81191870642	0.881829988090538	0.174246121651717	5.06082993257743	4.17435435275915e-07	2.12605886940528e-06
CNRIP1	549.540669177013	0.428415465658624	0.0846582107042091	5.06053059821313	4.18091354827574e-07	2.12889627709885e-06
ZNF395	4937.88682488002	0.366067918171896	0.0723410146180267	5.06030942619203	4.18576639018622e-07	2.13086368407778e-06
DNMBP-AS1	36.089516053513	0.857247977969357	0.169413136085321	5.06010335312855	4.19029282898372e-07	2.13266403750591e-06
SOHLH1	5.76017243936193	-1.37500710929811	0.271806591009893	-5.05877029761971	4.21968796758622e-07	2.14711756196687e-06
NOA1	1999.35159406599	-0.22689419160131	0.0448557844167987	-5.05830395235129	4.23001821877062e-07	2.15186570260199e-06
SPRR2E	8.88741036149048	-3.80789155807446	0.752903111744156	-5.05761166168273	4.24539850893349e-07	2.15918001596939e-06
SVOP	3.50230129827504	-1.43364133875594	0.283582949578269	-5.05545675749543	4.29361910371731e-07	2.18318928417479e-06
CNOT4	1570.17227142176	-0.210056686837259	0.0415516910782443	-5.05531017839226	4.29691824848441e-07	2.18435126817716e-06
ROBO1	2245.51611721418	-0.565564907738196	0.111880373929484	-5.05508596257158	4.30196954213074e-07	2.18640320395529e-06
SAAL1	739.470784188173	-0.302191196711381	0.059783517902926	-5.05475768759655	4.30937548965123e-07	2.18965060257184e-06
SFTPA1	4.77998739287446	-1.44886698440611	0.286640480844207	-5.0546488763169	4.31183300642719e-07	2.19038269961017e-06
SLC3A2	10958.2755839528	-0.311529443254788	0.061644696730239	-5.05362926219039	4.33492691175758e-07	2.20159512934713e-06
MAP3K1	6672.24547136937	0.464058102572101	0.0918377633777911	5.0530205168773	4.34877162097538e-07	2.20810595810261e-06
MRPL48	800.777775608806	-0.349185121155072	0.0691163882294627	-5.05213206447936	4.36905430077284e-07	2.21788185334237e-06
KLLN	84.0001971611728	-0.431792121712043	0.0854906710997166	-5.05075134114223	4.40075637546742e-07	2.23344865378257e-06
SPHK2	1050.80472750464	0.34378003992012	0.068070789131587	5.05033134338375	4.41044366480666e-07	2.23783792544971e-06
GTDC1	803.472577626953	-0.291030133123943	0.0576279792490078	-5.05015336155403	4.41455503604372e-07	2.23939660222571e-06
LOC284260	4.33955117040786	0.8500130206438	0.168351506164594	5.04903721985568	4.44042227067695e-07	2.25198816853729e-06
EBNA1BP2	3779.09883996786	-0.274686423840814	0.054409983753082	-5.04845627389578	4.4539438279512e-07	2.25831409341917e-06
FAM177A1	2867.55954714354	-0.304673561289339	0.0603514447158861	-5.04832258322296	4.45706110489415e-07	2.25936292809035e-06
CHST13	32.3973638087532	0.610032095423778	0.120847899982283	5.04793294308973	4.46615838787556e-07	2.2634419268029e-06
NFE2L1	18556.1564506496	-0.294329086007682	0.0583282672598632	-5.04607971116973	4.5096732468762e-07	2.28495767710962e-06
SLC36A1	1068.59563436765	-0.38343434833393	0.0759967673814267	-5.04540339735082	4.52565508190807e-07	2.2925161788062e-06
IFIT2	2324.67774692712	-0.660244181826796	0.130875894428862	-5.04481122905087	4.53969334052394e-07	2.29908682012806e-06
MPPE1	1658.76411687095	0.221790238716075	0.0439648373485651	5.04471873642252	4.5418898096104e-07	2.2996586147649e-06
METAP2	4188.8858649631	-0.219361765281514	0.0434858181753809	-5.04444378617449	4.54842524657712e-07	2.30242653929176e-06
CIC	5421.06280896745	0.242261909972053	0.0480409235573289	5.04282374344768	4.58711747320288e-07	2.32146720325776e-06
LOXL1	4185.06871799536	0.490051985977083	0.0971952603252714	5.04193295369637	4.60852769692813e-07	2.33175483096805e-06
SCFD1	3451.46715488729	-0.25043308490914	0.0496953015102566	-5.03937147574108	4.67063154882685e-07	2.36262235472941e-06
OXT	7.51157039291919	0.750155805271915	0.148879744635577	5.03866934422894	4.68779542409365e-07	2.37074799569656e-06
SLC12A5	45.8413404278442	-0.645162709006125	0.128068403116844	-5.03764155173784	4.71302995933146e-07	2.38295042111797e-06
F3	1814.97923228023	0.703973685581674	0.139761084730147	5.03697926315411	4.72935994096626e-07	2.39064595420406e-06
FAM173A	991.307537661243	0.580060584283866	0.115192567742468	5.03557300311846	4.7642151077738e-07	2.40769998315456e-06
NSUN4	1761.84835911425	-0.203917999228097	0.0404968570893397	-5.03540308765778	4.76844332372974e-07	2.40927164555426e-06
CD69	465.084741319745	0.686403636547279	0.136367603205927	5.03348024318319	4.81654476758835e-07	2.43300446595366e-06
PLK1S1	863.673347282845	0.248788976810416	0.0494334774055598	5.0328034738344	4.83358575588905e-07	2.441040120133e-06
ST13	8553.26952484841	-0.249816477339696	0.0496391325290911	-5.03265195444925	4.83740895865523e-07	2.44239837368803e-06
SLC7A6OS	238.516094917475	-0.258481939044619	0.0513634602855556	-5.03240898505642	4.84354575657477e-07	2.44492384675836e-06
IGF1	1948.95382059301	0.738769739445264	0.146806823940022	5.0322574906129	4.84737592616683e-07	2.44628407011802e-06
MIR4691	12.8180586547369	0.523674516937388	0.104066548760633	5.03211188584635	4.85105994247493e-07	2.44756991570679e-06
AK4	2133.71081759464	-0.606471202703477	0.120551042195363	-5.03082504853538	4.88373643770035e-07	2.46347969594513e-06
UCK2	3239.53445244729	-0.36131422231079	0.0718285407334772	-5.03023197493961	4.89886764501478e-07	2.47053381423685e-06
TRPV1	648.020150875825	0.382455242036394	0.076032495148506	5.03015508420953	4.90083268162632e-07	2.47094639112936e-06
TMCO7	653.722607365992	-0.288691165547872	0.0573937631278411	-5.03000935667574	4.90455901276214e-07	2.47224659267542e-06
RPL31P11	753.402396152319	0.415095751720053	0.0825274552630896	5.02978978809861	4.91017865960184e-07	2.47450032847864e-06
ARMCX2	2912.57087622879	0.437193385607839	0.0869316065586966	5.02916491382964	4.92620572150643e-07	2.48199663386657e-06
FGF17	5.41914642459066	0.964971985209276	0.191896888458535	5.02859631003234	4.94083336486934e-07	2.48878452215911e-06
SGIP1	368.71079712051	-0.548023417744582	0.108997992976589	-5.02783035520929	4.96060420524746e-07	2.4981593501134e-06
ZNF114	29.9949162446041	-0.713787748624462	0.141982398266043	-5.02729744913158	4.9744045711377e-07	2.50452376911873e-06
ZHX1	2824.30289970812	-0.364311634098095	0.0724762789650672	-5.02663270383527	4.99167100677304e-07	2.51262991051211e-06
YTHDF1	4621.2141603601	-0.216950595180523	0.043164655204237	-5.02611671873675	5.00511329809192e-07	2.51880777608251e-06
CHKB-CPT1B	16.1684503607978	0.669163042694707	0.133139683878197	5.02602246905505	5.00757243071659e-07	2.51945680633718e-06
CHUK	1695.69975298766	-0.253203743351305	0.0503873725850549	-5.0251428157698	5.03058032045777e-07	2.5304418030339e-06
SLC4A10	43.5964966429021	-1.1436348915426	0.227600036284968	-5.02475707038422	5.0407018595189e-07	2.53494119657972e-06
NAA40	1538.29999172363	-0.272743595114004	0.0542830711603351	-5.02446875764278	5.04827969372627e-07	2.53761172858229e-06
ZNF577	636.020392937266	0.464216003479452	0.092391408448293	5.02444990585084	5.04877556505898e-07	2.53761172858229e-06
KDM4B	9803.4674200759	0.500153057248529	0.0995444240035515	5.02442062682169	5.04954580413679e-07	2.53761172858229e-06
LOC146481	1.26559659572959	-2.61110300587339	0.519821523519937	-5.02307597460082	5.08504173398209e-07	2.55466272946818e-06
SLC22A12	3.52241614052984	1.08182991422731	0.215373302289495	5.02304558052031	5.08584684677358e-07	2.55466272946818e-06
GALNT14	481.671675045359	-0.859018798265147	0.171017368936899	-5.02299154527459	5.08727849704199e-07	2.55478619907395e-06
CHRD	1962.99065949258	0.811913852400113	0.161682065577839	5.02166922161958	5.122434499008e-07	2.57184173494823e-06
HSF1	5799.16047055986	-0.370738751550723	0.0738310542823422	-5.02144734562446	5.12835631949527e-07	2.57421501740927e-06
PDCD4	17741.5776321145	0.500098464063104	0.0995955231167872	5.02129461659317	5.13243645863947e-07	2.5756629644754e-06
LOC402160	73.3988947734866	0.76809426547752	0.152990901849299	5.02052250292713	5.15311135055179e-07	2.58543621183716e-06
EXOC4	4902.09699974957	-0.214114624236304	0.0426485619900652	-5.02044182137209	5.15527638969792e-07	2.58592024539352e-06
C5orf4	1514.69593662094	0.636234814832912	0.1267346123471	5.02021352375622	5.16140736728102e-07	2.58783186325981e-06
SNORD81	17.3642912536193	0.596044332927338	0.118728953283335	5.02021045789005	5.16148974954856e-07	2.58783186325981e-06
NFATC4	3673.03209914639	0.590158458272027	0.117558499273528	5.02012582602713	5.16376437582716e-07	2.58836993282504e-06
MRPS5	2152.21590001042	-0.291694836146203	0.0581073318341515	-5.019931683987	5.16898592828572e-07	2.59038457406345e-06
